LOANID,ORIG_TERM,BAL_DIFF,NOTE_RATE,LOAN_PURP,ORIGINAL_FICO_SCORE,CURRENT_FICO_SCORE,FICO DIFF,PROP_ZIP,PROP_TYPE,Loan Issued
380247,360,-25948.52,5.87,PURCH,766,809,43,11235,CONDO,1
810,360,-20691.67,9.62,,561,774,213,11211,,1
4860,180,-118047.94,5.5,SREFI,712,763,51,11229,TWO-4,1
52646,360,-15370.95,6.37,CREFI,785,816,31,11229,TWO-4,1
9443,300,-42255.94,6.37,SREFI,766,801,35,11235,SF,1
22249,360,-60698.2,5.62,CREFI,767,789,22,11214,CONDH,1
352170,180,-45045.19,5.37,PURCH,766,801,35,11206,CONDO,1
381113,180,-72835.59,4.87,PURCH,766,784,18,11215,CONDO,1
371687,360,-19815.01,5,CREFI,766,768,2,11228,TWO-4,1
363626,360,-15682.91,5,RREFI,766,764,-2,11228,TWO-4,1
29322,360,-42238.08,6.37,SREFI,766,765,-1,11220,TWO-4,1
822,300,-103424.68,8.37,,785,775,-10,11228,,1
804,353,-5372.32,2,,732,721,-11,11209,,1
399413,360,-17860.68,4.75,RREFI,766,772,6,11230,SF,1
22870,360,-27330.93,5.87,CREFI,788,788,0,11210,SF,1
352301,360,-53664.26,5.87,PURCH,766,552,-214,11230,SF,1
302148,360,-2215.71,4,PURCH,774,763,-11,11101,CONDH,0
12006,289,-8956.18,6,SREFI,680,611,-69,11235,CONDO,1
226,360,-110031.03,7.5,SREFI,733,779,46,11229,SF,1
17177,360,-40179.2,5.87,SREFI,766,735,-31,11235,CONDO,1
14228,360,-69897.78,6.12,SREFI,766,807,41,11234,TWO-4,1
1407,360,-76234.09,7,SREFI,669,692,23,11234,SF,1
23537,360,-26601.97,6.37,RREFI,687,808,121,11238,TWO-4,1
352374,360,-35639.93,5.87,CREFI,766,785,19,11213,TWO-4,1
825,360,-79426.06,8.87,,784,808,24,11201,,1
359671,360,-17555.03,4.87,PURCH,766,817,51,11205,CONDO,1
350946,360,-33142.97,5.37,RREFI,766,780,14,11211,CONDO,1
366825,360,-15685.73,5.12,RREFI,766,789,23,11211,CONDO,1
380828,448,-10163.35,2,RREFI,766,624,-142,11233,TWO-4,1
803,360,-77680.53,9.37,,710,686,-24,11212,,1
29236,360,-35835.17,5,RREFI,691,612,-79,11219,TWO-4,1
369682,360,-24032.68,5.25,PURCH,766,701,-65,11222,CONDO,1
814,360,-49440.9,7.62,,750,817,67,11203,,1
329498,180,-3912.97,3.25,CREFI,815,808,-7,10024,COOP,0
809,360,-53568.12,9.87,,697,715,18,11203,,1
349324,360,-23494.54,5.87,RREFI,766,775,9,11208,TWO-4,1
73622,360,-26053.09,6.5,CREFI,624,539,-85,10466,SF,0
359878,360,-14026.39,6,PURCH,766,783,17,10466,SF,0
312537,360,-1484.32,4.5,RREFI,813,794,-19,10466,TWO-4,0
197395,360,-10950.42,5,PURCH,713,709,-4,10458,TWO-4,1
161268,360,-4627.17,5.37,RREFI,646,669,23,10467,SFA,1
200601,360,-15216.12,5,PURCH,762,642,-120,10467,TWO-4,1
85759,360,-22686.09,6.5,PURCH,730,774,44,10467,TWO-4,1
78194,360,-15465.41,6.5,CREFI,608,673,65,10456,TWO-4,1
354465,292,-4411.77,2.87,PURCH,766,676,-90,10469,TWO-4,1
376426,360,-11337.25,5.12,CREFI,766,707,-59,10469,TWO-4,1
132118,360,-74265.9,4.5,RREFI,804,808,4,10469,TWO-4,1
74922,360,-27792.75,6.5,RREFI,703,758,55,10473,TWO-4,1
390377,360,-9145.39,5,CREFI,766,782,16,10473,CONDO,1
185092,360,-10912.1,4.75,CREFI,738,781,43,11426,SF,1
205361,180,-8570.27,4.25,PURCH,774,744,-30,10462,COOP,1
380388,480,-272448.27,2,PURCH,766,643,-123,10472,TWO-4,1
368843,360,-9108.18,4.87,RREFI,766,813,47,10473,CONDO,1
19799,360,-39191.17,5.5,RREFI,738,672,-66,10472,TWO-4,1
394104,360,-9910.7,4.87,RREFI,766,770,4,10473,CONDO,1
816,360,-40104.14,8.87,,784,812,28,10312,,1
233012,180,-9831.75,3.87,RREFI,747,764,17,11691,TWO-4,1
345111,360,-35905.89,6.12,PURCH,766,657,-109,10473,,1
368567,240,-22386.03,4.87,RREFI,766,758,-8,10473,CONDO,1
349210,360,-43295.24,5.87,PURCH,766,721,-45,10472,TWO-4,1
326450,180,-3661.64,3.37,RREFI,727,774,47,10473,TWO-4,1
359615,360,-22471.81,5.75,RREFI,766,752,-14,10473,TWO-4,1
353104,240,-116559.95,5.87,PURCH,766,732,-34,10462,TWO-4,1
355351,180,-60472.46,5.5,RREFI,766,525,-241,10462,SF,1
366648,360,-15373.07,5.37,CREFI,766,629,-137,10473,CONDO,1
326120,180,-83718.69,3.87,PURCH,748,790,42,10461,TWO-4,1
219779,360,-10736.1,4.75,PURCH,786,773,-13,10464,SF,1
98878,360,-10951.59,5.62,CREFI,657,670,13,10461,TWO-4,1
295559,180,-32732.46,4.5,RREFI,793,802,9,10461,TWO-4,1
370148,360,-21745.25,4.87,RREFI,766,810,44,10465,CONDO,1
297293,120,-8123.4,3.5,CREFI,802,769,-33,10464,SF,1
198347,360,-13403.14,5.12,PURCH,712,772,60,10464,SF,1
76213,360,-9992.4,7,PURCH,769,648,-121,10465,SFA,1
345417,360,-22646.13,5.62,,766,701,-65,10465,,1
349045,360,-38592.1,5.87,RREFI,766,791,25,10461,TWO-4,1
194692,360,-14502.36,5.5,PURCH,775,810,35,10465,TWO-4,1
399722,180,-51154.76,4.87,RREFI,766,802,36,10461,SF,1
279597,360,-3275.18,4.75,PURCH,739,768,29,10463,COOP,0
112138,360,-18614.5,4.87,RREFI,742,781,39,10471,SFA,0
331813,360,-3703.88,3.87,PURCH,759,748,-11,10471,SF,1
267644,360,-1414.13,4.87,PURCH,812,814,2,10463,COOP,0
190685,360,-13766.97,4.87,PURCH,688,800,112,10463,SF,1
312987,360,-1701.58,4.5,RREFI,767,783,16,10471,COOP,0
84711,360,-15228.07,6.75,PURCH,691,573,-118,10473,SF,1
175290,360,-6619.16,5.37,PURCH,687,599,-88,10463,CONDH,0
258448,360,-6886.92,3.37,RREFI,763,770,7,10463,COOP,1
397852,360,-29646.72,5.25,RREFI,766,800,34,10471,SF,0
274092,360,-2625.09,4.75,PURCH,796,804,8,10471,COOP,0
325097,360,-1334.41,4.25,RREFI,777,774,-3,10463,COOP,0
216434,180,-25490,4,PURCH,733,719,-14,10463,COOP,0
239533,360,0,4.62,RREFI,796,798,2,10463,PUD-A,1
