PROP_ZIP,PROPERTY_TURNOVER,LISTING_COUNT,MEDIAN_PRICE,MEDIAN_PPSQFT,FORECLOSURERATIO,ZRI,ZRI_YOY,ZHVI,NEGATIVEEQUITY,DELINQUENCY,ZHVI_YOY
11235,6.454,416,549000,491,1.204,2177,0.067,447500,0.091,0.081,0.698
11211,4.779,87,1097500,435,0,2921,0.047,961600,0.056,0,6.02
11229,4.276,237,568000,407,0.773,2143,0.07,555300,0.058,0.081,7.7
11235,6.454,416,549000,491,1.204,2177,0.067,447500,0.091,0.081,0.698
11214,4.737,91,585000,463,1.63,2154,0.107,551800,0,0,5.426
11206,4.08,28,568000,435,2.276,2654,0.056,480000,0,0,7
11215,6.362,103,999000,979,1.06,2794,0.04,1005700,0.036,0,13.497
11228,4.019,47,772000,535,0,2213,0.111,808400,0.021,0.042,8.06
11220,5.213,36,564500,594,0,2218,0.086,480000,0,0,7
11209,6.331,151,568000,555,0,2225,0.062,480000,0,0,7
11230,4.936,109,350000,506,0.917,2196,0.079,480000,0,0,7
11210,3.228,102,568000,412,0.963,2145,0.075,624600,0.05,0.176,11.595
11101,6.968,144,985000,435,1,2549,-0.019,694800,0.146,0,-12.954
11235,6.454,416,549000,491,1.204,2177,0.067,447500,0.091,0.081,0.698
11229,4.276,237,568000,407,0.773,2143,0.07,555300,0.058,0.081,7.7
11234,3.559,438,599000,362,0.647,2098,0.081,480800,0.061,0.181,6.679
11238,7.194,128,862000,919,1.515,2754,0.028,480000,0,0,7
11213,3.62,144,568000,445,5.124,2339,0.064,716600,0.035,0.158,-8.62
11201,7.533,227,568000,1072,0,2948,0.018,1070800,0.061,0.005,20.058
11205,8.062,50,825000,566,1.628,2710,0.023,723200,0.075,0.068,8.768
11211,4.779,87,1097500,435,0,2921,0.047,961600,0.056,0,6.02
11211,4.779,87,1097500,435,0,2921,0.047,961600,0.056,0,6.02
11233,4.217,51,568000,495,119.048,2340,0.062,480000,0,0,7
11212,2.711,30,400000,270,5.354,2068,0.111,321700,0.088,0.309,3.64
11219,3.909,144,568000,435,0,2227,0.098,716500,0,0,4.583
11222,6.619,144,867500,1013,1,2840,0.055,920100,0,0,11.379
11203,3.148,75,499499,277,3.417,2026,0.058,408800,0.088,0.275,6.736
10024,6.316,175,568000,435,0,4208,0.027,480000,0,0,7
11203,3.148,75,499499,277,3.417,2026,0.058,408800,0.088,0.275,6.736
11208,4.942,75,445000,290,3.456,2258,0.073,362900,0,0,10.911
10466,3.474,144,419000,240,3.541,1828,0.091,355400,0.136,0.277,4.838
10458,11.014,144,568000,435,46.103,1582,0.072,480000,0,0,7
10467,6.167,144,568000,435,12.169,1774,0.039,480000,0,0,7
10456,4.203,144,568000,211,74.248,1819,0.064,260600,0.09,0.357,-1.772
10469,2.965,144,425000,232,2.296,1821,0.066,375000,0.124,0.224,5.634
10473,2.085,42,307500,231,8.124,1842,0.064,324900,0.179,0.133,-3.762
11426,3.756,49,568000,383,1.297,2320,0.061,515300,0.054,0.106,3.246
10462,2.896,118,125000,160,1.273,1789,0.026,108200,0.253,0.112,5.151
10472,4.557,144,568000,435,31.004,1831,0.054,480000,0,0,7
10312,3.528,134,465000,268,0.915,2131,-0.058,440200,0.046,0.108,3.772
11691,3.6,53,327000,262,2.894,2061,0.089,378500,0.106,0.232,-0.552
10473,2.085,42,307500,231,8.124,1842,0.064,324900,0.179,0.133,-3.762
10472,4.557,144,568000,435,31.004,1831,0.054,480000,0,0,7
10462,2.896,118,125000,160,1.273,1789,0.026,108200,0.253,0.112,5.151
10461,4.124,144,379000,260,2.454,1828,0.06,411700,0.096,0.196,5.106
10464,4.212,38,568000,339,6.286,1861,-0.01,470400,0.107,0.103,8.287
10465,4.21,155,412000,268,2.177,1847,0.068,406700,0.109,0.161,4.847
10461,4.124,144,379000,260,2.454,1828,0.06,411700,0.096,0.196,5.106
10465,4.21,155,412000,268,2.177,1847,0.068,406700,0.109,0.161,4.847
10463,12.334,270,259000,435,4.013,1902,0.081,480000,0,0,7
10471,8.365,238,298500,435,0,2014,0.105,712700,0.05,0,2.858
10473,2.085,42,307500,231,8.124,1842,0.064,324900,0.179,0.133,-3.762
10463,12.334,270,259000,435,4.013,1902,0.081,480000,0,0,7
10471,8.365,238,298500,435,0,2014,0.105,712700,0.05,0,2.858
10471,8.365,238,298500,435,0,2014,0.105,712700,0.05,0,2.858
10463,12.334,270,259000,435,4.013,1902,0.081,480000,0,0,7
10467,6.167,144,568000,435,12.169,1774,0.039,480000,0,0,7
10469,2.965,144,425000,232,2.296,1821,0.066,375000,0.124,0.224,5.634
10455,3.759,144,568000,435,1,1853,0.091,480000,0,0,7
10459,2.609,144,568000,174,118.388,1837,0.061,298400,0.14,0.184,1.29
10456,4.203,144,568000,211,74.248,1819,0.064,260600,0.09,0.357,-1.772
10460,7.74,144,568000,435,0,1841,0.054,480000,0,0,7
10469,2.965,144,425000,232,2.296,1821,0.066,375000,0.124,0.224,5.634
10474,5.714,144,568000,435,1,1814,0.057,480000,0,0,7
10459,2.609,144,568000,174,118.388,1837,0.061,298400,0.14,0.184,1.29
10453,9.424,144,568000,435,294.118,1833,0.103,480000,0,0,7
10458,11.014,144,568000,435,46.103,1582,0.072,480000,0,0,7
10466,3.474,144,419000,240,3.541,1828,0.091,355400,0.136,0.277,4.838
10473,2.085,42,307500,231,8.124,1842,0.064,324900,0.179,0.133,-3.762
10469,2.965,144,425000,232,2.296,1821,0.066,375000,0.124,0.224,5.634
10465,4.21,155,412000,268,2.177,1847,0.068,406700,0.109,0.161,4.847
