PROP_ZIP,POPULATION_YOUTH,POPULATION_ADULT,POPULATION_ELDER,POPULATION_POVERTY,POPULATION_EMPLOYED,POPULATION_UNEMPLOYED,HOUSEHOLD_TOTAL,HOUSEHOLD_NONFAMILY,HOUSEHOLD_FAMILY,HOUSEHOLD_MEDIANINCOME,HOUSEHOLD_EXPEND_HOUSEHOLD,HOUSEHOLD_MEDIANRENT
10001,877,7773,4295,12885,64,9.4,8259,6267,1992,64151.5,10366,1121.5
10002,10884,43810,21151,71576,51.96666667,10.64,31972,16914,15058,52604.9,8323.4,823.5
10003,20682,82080,39630,141552,55.95714286,8.739285714,59322,28692,30630,44304,7980.8,764.4
10004,641,3354,1551,5451,70.6,5.35,2966,1984,982,123525,15783.5,1376
10005,2553,11359,4510,18271,77.35,4.25,10026,6522,3504,132186.5,16798.5,1437
10006,1239,8372,3485,12697,33.975,2.55,6876,4753,2123,42181.3,13402.4,1239.5
10007,677,3508,1427,5267,69.65,4,2894,1829,1065,155865,19388.3,2752
10009,2762,12345,6844,20438,47.73333333,8.966666667,10032,5719,4313,44059,6806.3,750
10010,14136,107482,48845,166040,68.74615385,5.892307692,92503,64283,28220,108038.6,14076.7,1544.9
10011,12918,72589,26759,110532,64.18928571,6.057142857,59406,40134,19272,102040.7,14432.3,1474.3
10012,4434,20065,6850,29906,72.85,5.5,16099,9814,6285,133138.8,18414.7,1488.7
10013,2019,14466,4978,21463,74.775,6.6,12506,8789,3717,104085.5,13246.2,989.5
10014,9177,49800,17748,74977,60.38666667,4.466666667,39887,26483,13404,101590.7,15733.1,1481.5
10016,16884,135929,56358,200001,64.83793103,5.651724138,107326,74096,33230,101172,13022.5,1392
10017,3215,27180,12269,42374,72.54285714,4.728571429,24769,17781,6988,111541.6,15176.1,1933
10018,65,896,238,1199,78,9.2,709,536,173,143750,16271.8,2089
10019,4986,53237,16292,73749,72.36190476,6.157142857,43428,33178,10250,109630.7,14309.4,1466.7
10021,27467,108711,59735,192876,65.12,4.376,104869,62616,42253,120685.7,17607.4,1577.2
10022,8547,73203,29266,107669,71.0875,5.54375,60274,42644,17630,107172.5,13532.7,1317.8
10023,62023,209863,112661,376671,65.44666667,6.635555556,185418,104185,81233,100501.9,14822.6,1455.4
10024,40471,135045,78866,250436,63.728125,9.1125,124783,70286,54497,101717.8,14357.6,1425
10025,35546,119272,74327,224336,63.37586207,7.013793103,113528,63700,49828,106948.2,14951.6,1448.6
10026,25217,66215,22773,113790,53.16666667,14.56666667,46560,23665,22895,39095.2,6946.4,585.8
10027,9409,40481,14454,56280,41.02142857,8.078571429,23041,12208,10833,50870.2,10446.3,638.4
10028,32507,124508,69927,224013,67.0137931,4.527586207,120443,70949,49494,126247.5,18696.7,1665.6
10029,23479,54937,24838,101428,45.6,13.44210526,39854,18291,21563,25684.4,5993,427.1
10031,3008,11721,3118,16472,48.13333333,9.233333333,5664,2428,3236,54428,8158.4,939.3
10032,1758,5462,2168,9374,55.3,13.8,2868,1024,1844,29119,5754.9,948
10033,8313,25595,9710,42483,41.71428571,17.7,13562,4747,8815,29615.7,5195.8,724.9
10034,1584,6277,3016,10690,66.1,6.3,4403,2068,2335,78198.5,9120.9,996
