PROP_ZIP,ROBBERY,BURGLARY,FELONY ASSAULT,GRAND LARCENY,MURDER,RAPE,GRAND LARCENY OF MOTOR VEHICLE,ALLFELONIES
10001,12,13,16,73,0,0,2,116
10002,78,47,107,358,1,14,32,637
10003,119,66,192,406,3,0,41,827
10004,9,10,8,109,1,0,2,139
10005,17,41,18,306,0,0,6,388
10006,12,15,18,107,0,0,2,154
10007,6,10,6,119,0,0,3,144
10009,12,16,26,107,0,9,4,174
10010,82,102,114,816,1,16,48,1179
10011,216,273,229,2105,4,9,54,2890
10012,21,49,23,265,0,5,9,372
10013,26,44,24,201,0,7,3,305
10014,73,100,70,818,0,0,18,1079
10016,73,85,83,747,1,16,44,1049
10017,37,63,38,347,0,0,24,509
10018,8,16,10,150,0,0,2,186
10019,165,232,142,1702,1,23,43,2308
10021,47,79,47,640,1,8,30,852
10022,53,63,75,499,1,16,34,741
10023,152,136,132,804,2,12,62,1300
10024,143,109,91,791,2,5,57,1198
10025,120,108,109,669,1,12,45,1064
10026,195,93,265,218,2,24,28,825
10027,112,53,80,210,0,15,12,482
10028,48,94,60,544,1,8,40,795
10029,187,96,288,281,6,0,26,884
10031,37,20,38,57,0,0,5,157
10032,8,9,20,42,0,0,4,83
10033,56,40,75,81,1,0,15,268
10034,6,15,9,14,0,0,2,46
10035,71,48,149,90,3,0,9,370
10036,144,153,129,1373,1,10,33,1843
10037,30,14,32,64,0,10,8,158
10038,57,94,60,562,0,12,18,803
10039,29,21,47,47,0,0,4,148
10040,125,70,133,270,0,29,43,670
10044,12,21,18,190,1,8,11,261
10065,43,59,36,493,0,0,25,656
10069,25,33,34,136,0,9,11,248
10075,17,23,28,146,0,0,12,226
10128,28,61,51,416,1,8,30,595
10280,78,107,75,877,0,7,16,1160
10303,11,20,24,49,1,10,8,123
10304,13,10,13,11,1,0,1,49
10305,6,7,14,19,0,3,1,50
10306,4,17,18,63,0,0,4,106
10308,0,1,7,13,0,0,2,23
10309,2,9,2,21,0,0,2,36
10310,2,2,2,4,0,0,3,13
10312,32,29,29,56,0,0,13,159
10314,7,8,3,25,1,0,3,47
10453,6,1,7,5,0,0,3,22
10455,12,5,32,26,0,0,2,77
10456,35,13,29,36,0,0,10,123
10458,33,16,39,33,2,0,8,131
10459,46,26,36,56,0,0,11,175
10460,22,8,39,15,0,0,12,96
10461,71,45,79,269,1,5,53,523
10462,65,47,78,71,0,0,31,292
10463,35,35,32,115,0,0,14,231
10464,18,36,21,83,1,5,21,185
10465,58,30,81,252,1,5,44,471
10466,100,67,147,135,2,0,52,503
10467,59,32,69,99,0,0,17,276
10469,69,57,69,157,1,19,49,421
10470,1,0,4,1,0,0,1,7
10471,18,19,31,69,0,0,11,148
10472,84,24,82,72,1,0,20,283
10473,158,97,191,208,2,0,77,733
10474,35,18,25,31,0,23,2,134
10475,2,1,2,2,0,0,2,9
11004,13,9,19,23,0,0,9,73
11101,78,118,138,278,3,0,65,680
11102,25,53,38,77,1,0,22,216
11103,8,14,13,31,1,0,11,78
11104,14,14,20,46,0,0,11,105
11105,27,40,21,76,0,0,13,177
11106,70,96,84,183,4,0,51,488
11109,5,14,8,16,0,0,6,49
11201,0,3,3,5,0,0,6,17
11203,30,10,20,28,1,0,4,93
11205,7,1,17,8,1,0,3,37
11206,13,15,15,11,0,0,3,57
11208,12,4,2,3,0,0,7,28
11209,1,4,9,6,0,0,0,20
11210,9,6,3,5,1,0,0,24
11211,10,15,3,40,0,0,12,80
11212,17,3,20,23,0,0,4,67
11213,22,15,22,24,0,0,3,86
11214,0,0,2,8,0,0,0,10
11215,3,2,6,24,1,0,1,37
11219,1,1,0,8,0,0,1,11
11220,5,4,13,15,0,0,7,44
11222,4,20,13,33,0,0,7,77
11228,3,8,9,18,0,0,9,47
11229,4,3,3,20,0,0,3,33
11230,18,12,8,9,2,0,1,50
11233,18,10,9,10,1,0,4,52
11234,17,9,19,15,1,0,3,64
11235,4,4,2,20,0,0,8,38
11238,13,4,12,16,0,0,6,51
11354,58,88,79,282,1,15,38,561
11355,3,17,8,17,0,0,8,53
11356,17,15,12,47,0,0,9,100
11357,24,49,29,116,1,0,22,241
11358,35,51,39,211,0,0,27,363
11360,11,20,19,50,0,15,15,130
11361,6,29,9,56,0,0,3,103
11362,3,9,4,17,0,0,4,37
11363,6,10,0,14,0,0,2,32
11364,5,12,7,36,0,0,10,70
11365,25,17,19,53,0,0,12,126
11366,16,16,15,29,0,0,8,84
11367,19,13,19,51,1,0,17,120
11368,21,7,30,29,0,0,4,91
11369,55,31,44,88,0,12,21,251
11370,26,19,32,49,0,0,19,145
11372,59,32,55,110,0,0,22,278
11373,7,3,3,3,0,0,1,17
11374,9,23,7,50,0,0,9,98
11375,31,47,50,147,1,0,36,312
11377,28,55,34,83,1,12,40,253
11378,18,24,19,67,0,0,21,149
11379,57,61,40,105,1,15,30,309
11385,29,49,35,93,0,0,26,232
11411,37,26,60,59,4,26,23,235
11412,73,47,78,118,0,0,13,329
11413,28,40,57,80,1,0,29,235
11414,67,54,46,115,0,0,71,353
11415,19,19,24,20,1,0,18,101
11416,8,7,12,18,0,0,12,57
11417,60,67,43,133,1,0,62,366
11418,37,37,63,70,0,0,32,239
11419,74,51,45,104,1,0,53,328
11420,115,100,91,269,2,0,111,688
11421,21,10,22,33,0,0,25,111
11422,14,18,26,59,0,0,15,132
11423,47,34,76,127,1,0,29,314
11426,32,28,37,76,1,0,20,194
11427,18,31,32,73,0,0,20,174
11428,41,49,41,78,0,0,29,238
11429,20,18,14,23,0,0,6,81
11432,10,8,12,57,1,0,12,100
11433,58,43,65,52,0,0,11,229
11434,54,33,59,47,1,0,17,211
11435,14,25,21,34,1,0,9,104
11436,8,9,16,12,0,0,3,48
11691,168,156,328,259,5,14,51,981
11692,21,21,20,32,1,0,3,98
11694,61,53,107,53,2,0,8,284
